,Agency Name,City_x,State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,place_id,City_y,state_id,lat,lon
17,King County Department of Metro Transit (KCM),Seattle,WA,81002121.0,75485244.0,79426379.0,89455581.0,83677329.0,96930681.0,121823960.0,136270876.0,150083324.0,164218106.0,181315403.0,188918502.0,200177953.0,202551056.0,222670634.0,231398647.0,237704184.0,239071077.0,72180466.0,"Seattle, WA",Seattle,WA,47.6211,-122.3244
18,Los Angeles County Metropolitan Transportation Authority (LACMTA),Los Angeles,CA,241143714.0,247426048.0,221453691.0,269238971.0,280572091.0,293878777.0,343317857.0,343204891.0,327315725.0,358695085.0,359058439.0,356329493.0,356874510.0,368369593.0,355956638.0,334122144.0,315337914.0,280870183.0,199728314.0,"Los Angeles, CA",Los Angeles,CA,34.1139,-118.4068
19,MTA New York City Transit (NYCT),Brooklyn,NY,2125417830.0,2351105766.0,2548965991.0,2625814058.0,2728959320.0,2811715386.0,2988779509.0,3078891415.0,3251532420.0,3578282013.0,3622833825.0,3983362615.0,4133813034.0,4291795069.0,4330281843.0,4480948952.0,4463064319.0,4607974781.0,2018495902.0,"Brooklyn, NY",Brooklyn,NY,40.6501,-73.9496
20,Maryland Transit Administration (MTA),Baltimore,MD,93945040.0,93150171.0,113445578.0,115353270.0,117793877.0,123934015.0,125679777.0,125758369.0,133127901.0,138192791.0,137905520.0,139675448.0,136704625.0,136013030.0,153366531.0,148528023.0,145989271.0,134835788.0,102029183.0,"Baltimore, MD",Baltimore,MD,39.3051,-76.6144
21,Massachusetts Bay Transportation Authority (MBTA),Boston,MA,290533067.0,283071935.0,303544254.0,327580811.0,341868507.0,395876376.0,449670261.0,456042219.0,445707914.0,455503249.0,472185325.0,564945469.0,576853118.0,602771384.0,619056043.0,659480966.0,659727894.0,671521399.0,545414783.0,"Boston, MA",Boston,MA,42.3188,-71.0846
22,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad (MTA-MNCR)",New York,NY,339446185.0,378418046.0,403361946.0,438051180.0,454893543.0,477154857.0,503268971.0,502556970.0,527270420.0,568123862.0,588121687.0,619477822.0,650513294.0,678284864.0,695365952.0,738211021.0,741115804.0,757532731.0,243671760.0,"New York, NY",New York,NY,40.6943,-73.9249
23,Metropolitan Atlanta Rapid Transit Authority (MARTA),Atlanta,GA,100061999.0,94420041.0,94125687.0,93825690.0,96569846.0,102141681.0,101216344.0,104966518.0,108642804.0,113368096.0,130642970.0,138575046.0,137938167.0,143717095.0,138246555.0,134949316.0,135383141.0,130164506.0,100300226.0,"Atlanta, GA",Atlanta,GA,33.7627,-84.4224
24,New Jersey Transit Corporation,Newark,NJ,502731006.0,530962174.0,541262881.0,562276564.0,645269494.0,679299440.0,762308295.0,756912846.0,767987318.0,872890220.0,891835082.0,880179625.0,911481390.0,935760178.0,997242799.0,994363255.0,974528110.0,979873625.0,743742067.0,"Newark, NJ",Newark,NJ,40.7245,-74.1725
25,New Orleans Regional Transit Authority (NORTA),New Orleans,LA,35793956.0,34902004.0,34588112.0,0.0,2491431.0,10304210.0,10529956.0,12370549.0,14185894.0,15521211.0,16206649.0,17886746.0,18762968.0,19973025.0,19850180.0,19869363.0,20102716.0,18559985.0,7337178.0,"New Orleans, LA",New Orleans,LA,30.0687,-89.9288
26,Northeast Illinois Regional Commuter Railroad Corporation,Chicago,IL,190337817.0,191131133.0,191762241.0,198493912.0,213738444.0,223146883.0,237769628.0,236067676.0,235643554.0,241577676.0,298394322.0,309448078.0,311685272.0,337413270.0,341966405.0,355260071.0,370028145.0,365935097.0,102350491.0,"Chicago, IL",Chicago,IL,41.8373,-87.6862
27,Northern Indiana Commuter Transportation District (NICTD),Chesterton,IN,13591808.0,13944737.0,14622077.0,15739769.0,17926713.0,18735287.0,19052691.0,17718766.0,17676916.0,18183926.0,19556464.0,19341085.0,19370692.0,20698317.0,21357753.0,22178092.0,22789177.0,22509224.0,6328707.0,"Chesterton, IN",Chesterton,IN,41.5997,-87.0548
28,Pace - Suburban Bus Division,Arlington Heights,IL,42602941.0,41982530.0,42795686.0,46188517.0,46608518.0,35888242.0,28400224.0,32833074.0,32261328.0,34650884.0,35669611.0,36290295.0,39554373.0,39422282.0,38030131.0,36541044.0,38054376.0,36050287.0,16366000.0,"Arlington Heights, IL",Arlington Heights,IL,42.0955,-87.9825
29,Peninsula Corridor Joint Powers Board (PCJPB),San Carlos,CA,21072750.0,20616017.0,19579185.0,23139815.0,30186123.0,34301381.0,39519340.0,42433787.0,41256013.0,46843914.0,56330576.0,64216475.0,67565855.0,83351480.0,89104140.0,92428889.0,97050195.0,102668114.0,76094433.0,"San Carlos, CA",San Carlos,CA,37.4982,-122.268
30,Port Authority of Allegheny County,Pittsburgh,PA,64252645.0,69380506.0,70192384.0,69242026.0,71669672.0,74132405.0,79883702.0,87959532.0,89227611.0,95014608.0,98232138.0,100532364.0,100064886.0,102438868.0,101866478.0,99845365.0,101751777.0,100778129.0,79071495.0,"Pittsburgh, PA",Pittsburgh,PA,40.4396,-79.9762
31,Rhode Island Public Transit Authority (RIPTA),Providence,RI,10629025.0,11321831.0,14374497.0,19992021.0,21947512.0,23050439.0,24118694.0,24765075.0,18733138.0,20513041.0,21980654.0,22464647.0,22670139.0,19951729.0,19068063.0,20088587.0,20090946.0,18843696.0,16224321.0,"Providence, RI",Providence,RI,41.823,-71.4187
32,San Diego Metropolitan Transit System (MTS),San Diego,CA,25913748.0,23758457.0,22500658.0,21383098.0,22263739.0,69315094.0,75938626.0,85192328.0,84167608.0,84764146.0,88094389.0,90651622.0,93994559.0,97614714.0,97913890.0,93279455.0,90235809.0,92225166.0,78709562.0,"San Diego, CA",San Diego,CA,32.8312,-117.1225
33,San Francisco Bay Area Rapid Transit District (BART),Oakland,CA,193701172.0,191385802.0,220391192.0,233651427.0,256238519.0,282079624.0,308852291.0,317485269.0,331361008.0,342688620.0,366474018.0,406889588.0,415742134.0,463634019.0,489583067.0,485674585.0,481783020.0,482643999.0,341586797.0,"Oakland, CA",Oakland,CA,37.7903,-122.2165
34,Santa Clara Valley Transportation Authority (VTA),San Jose,CA,33582458.0,33440967.0,32970627.0,34575117.0,37183014.0,38173722.0,38697574.0,39058221.0,39629391.0,40820696.0,40632238.0,41321061.0,41310714.0,42354077.0,40429880.0,35524503.0,36554309.0,38129524.0,28886823.0,"San Jose, CA",San Jose,CA,37.3019,-121.8486
35,Southeastern Pennsylvania Transportation Authority (SEPTA),Philadelphia,PA,321100219.0,324711292.0,327463348.0,330766549.0,333693615.0,348621108.0,396947742.0,408753089.0,400096593.0,443540475.0,451094843.0,447480141.0,476651044.0,481627476.0,475128169.0,446852737.0,471056951.0,462296681.0,353276517.0,"Philadelphia, PA",Philadelphia,PA,40.0077,-75.1339
36,Staten Island Rapid Transit Operating Authority (SIRTOA),Staten Island,NY,3869004.0,4240274.0,4439600.0,4592359.0,5053498.0,5409739.0,5806910.0,5798263.0,6522074.0,7230277.0,7018648.0,7263031.0,7612343.0,8176222.0,8356949.0,8766939.0,8651127.0,8485089.0,2857140.0,"Staten Island, NY",Staten Island,NY,40.5834,-74.1496
37,The Greater Cleveland Regional Transit Authority (GCRTA),Cleveland,OH,38185308.0,38411831.0,37580309.0,38506168.0,41003041.0,43314247.0,47773724.0,50332127.0,47152334.0,49928892.0,50160075.0,51178808.0,50610561.0,47561770.0,47130757.0,46794160.0,45646878.0,45260490.0,26194783.0,"Cleveland, OH",Cleveland,OH,41.4767,-81.6804
38,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,54778216.0,54444840.0,57142621.0,60936514.0,70209334.0,77597071.0,82511222.0,93181389.0,96141476.0,99628864.0,104560672.0,115232541.0,118798735.0,123219141.0,125705014.0,125060994.0,121443392.0,114894061.0,94456931.0,"Portland, OR",Portland,OR,45.5372,-122.65
39,Utah Transit Authority (UTA),Salt Lake City,UT,18195972.0,18805671.0,20376512.0,21741008.0,23921123.0,23156671.0,34748201.0,34176625.0,35244892.0,39772713.0,47301613.0,52741108.0,51532758.0,52098261.0,50624354.0,52159202.0,48122586.0,48503483.0,32521480.0,"Salt Lake City, UT",Salt Lake City,UT,40.7777,-111.9306
40,VIA Metropolitan Transit (VIA),San Antonio,TX,15428942.0,15041086.0,14913689.0,15390853.0,17477008.0,19534808.0,22071107.0,23290402.0,23178808.0,24569833.0,25700840.0,27201721.0,26811236.0,25462653.0,24827352.0,23583981.0,23164693.0,22984946.0,15033510.0,"San Antonio, TX",San Antonio,TX,29.4658,-98.5253
41,"Valley Metro Rail, Inc. (VMR)",Phoenix,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3371103.0,9256913.0,10238281.0,11889930.0,12791801.0,12505116.0,12832286.0,13461088.0,13363158.0,11911036.0,11071504.0,8339928.0,"Phoenix, AZ",Phoenix,AZ,33.5722,-112.0891
42,Washington Metropolitan Area Transit Authority (WMATA),Washington,DC,375312104.0,384099606.0,421270027.0,477846720.0,507206483.0,514611829.0,571060840.0,622672283.0,600669889.0,710601594.0,714512997.0,756295649.0,746257498.0,782530362.0,724560300.0,660541529.0,669406119.0,666310293.0,492953775.0,"Washington, DC",Washington,DC,38.9047,-77.0163
43,Washington State Ferries (WSF),Olympia,WA,26526214.0,50504731.0,56970403.0,58457439.0,32520094.0,34283767.0,35698924.0,35208864.0,36402916.0,35587378.0,36280648.0,37615750.0,38179089.0,39554501.0,40721339.0,41670964.0,75707452.0,76422888.0,62242674.0,"Olympia, WA",Olympia,WA,47.0417,-122.8959
