,Agency Name,City_x,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,place_id,City_y,state_id,lat,lon
12,Denver Regional Transportation District (RTD),Denver,3.4170727644058236,3.672826241910779,3.5886366852305955,3.6231331712137687,3.8857603124832534,4.028961554220026,4.023258161134744,4.22824640489243,4.412032997194737,4.576672331596178,4.6088422096464035,5.041086977488668,5.452484975555659,5.536301978598104,6.124671824652461,11.919504057824021,"Denver, CO",Denver,CO,39.7621,-104.8759
13,Fort Worth Transportation Authority (FWTA),Fort Worth,5.783837874331338,5.718828743066656,5.949767251335394,6.231913453251027,6.596312336289871,5.599307490162502,6.551301650385881,6.152485104817536,6.547567486245849,6.413455316692639,6.869491970499119,7.441828642954991,8.564338117817991,10.1494663987224,12.631798446722865,22.615683569740973,"Fort Worth, TX",Fort Worth,TX,32.7811,-97.3473
14,"Golden Gate Bridge, Highway and Transportation District (GGBHTD)",San Francisco,8.43452165457655,8.452666157625899,8.83175708627308,9.116082312423684,10.600164422009149,10.36184528020603,10.911765968165458,11.148526337565297,11.361889067505448,13.792968503998202,15.030858019376527,16.537976089141676,17.973809199354285,18.509617041043096,20.547103011042225,74.20861641313763,"San Francisco, CA",San Francisco,CA,37.7562,-122.443
15,Greater Dayton Regional Transit Authority (GDRTA),Dayton,4.256751875525211,4.2868045529699454,4.551606362352098,4.545278457728186,5.074146859135604,5.334860946850238,5.240801562176919,5.525672699940847,5.949692417424653,5.755610357629248,5.92044462889856,6.732618206104998,8.17363837976782,7.9713698371433415,8.133052694625404,11.210515253561717,"Dayton, OH",Dayton,OH,39.7797,-84.1998
16,Indianapolis and Marion County Public Transportation (IndyGo),Indianapolis,4.92254716264218,4.965296854057701,5.4887673601201925,5.295275645638744,6.567239484528952,6.472995178785055,5.573106055946222,5.155973482428614,5.716481213853612,5.965590516498748,6.317851844728505,7.113486625920084,7.767501223796225,9.329692137600814,9.982985648717976,17.667802063484835,"Indianapolis, IN",Indianapolis,IN,39.7771,-86.1458
17,King County Department of Metro Transit (KCM),Seattle,4.058905757945659,4.047392980557108,4.043661595224016,4.080672801628175,4.295750526316698,4.515331932050591,4.514975908124535,4.683196324832117,4.693274217612441,4.693164408412651,4.681209461445307,4.912171857040263,5.368436710784461,5.6528063942004145,6.198725820184027,13.333585314241112,"Seattle, WA",Seattle,WA,47.6211,-122.3244
18,Los Angeles County Metropolitan Transportation Authority (LACMTA),Los Angeles,2.110285556057216,2.135294272133254,2.327053162754179,2.400652242246153,2.5369100129248916,2.658722135378758,2.693542764023835,2.63686456648972,2.7475737660621866,2.920257716966564,3.155618036669156,3.75308980889086,4.343096238962152,4.591243102019806,5.134138048568596,8.543948724621607,"Los Angeles, CA",Los Angeles,CA,34.1139,-118.4068
19,MTA New York City Transit (NYCT),Brooklyn,1.4795279093371545,1.4959824607290193,1.65715954344435,1.7793231217456658,1.885819226923091,1.8566047700011532,1.9204108652953313,1.9783893800652155,2.0240388153288773,2.05365926465193,2.1608331770532,2.2922730963341764,2.3545400713732128,2.4974729560958404,2.5283785775617122,5.368217631483163,"Brooklyn, NY",Brooklyn,NY,40.6501,-73.9496
20,Maryland Transit Administration (MTA),Baltimore,3.5641349970338374,4.178150928906677,4.206594792941883,4.583775954327581,4.611780078067104,4.7310931833388485,4.846924565622348,5.53400746034219,5.338421054826379,5.759833640989153,5.790461285581483,5.999038150991869,6.9920732724101535,7.9748171637490985,8.889719261633912,15.384954580096988,"Baltimore, MD",Baltimore,MD,39.3051,-76.6144
21,Massachusetts Bay Transportation Authority (MBTA),Boston,2.323723106861853,2.468655743519611,2.683470492715473,2.716620847548883,3.0800054633378027,3.2456273103812694,3.1339946877266494,3.232443407327725,3.3223628005130106,3.455289404666713,3.7389729450969926,3.820710859466003,4.006745133627838,4.038117541684959,4.110327661667502,10.451623651203658,"Boston, MA",Boston,MA,42.3188,-71.0846
