,Agency Name,City_x,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,place_id,City_y,state_id,lat,lon
10,County of Miami-Dade (MDT),Miami,0.10600785341079934,0.08356140372575915,0.10246953834184731,0.12278236838764914,0.07989917455609616,0.17608129191967675,0.07382732727908578,0.07284760858933328,0.10239587634492717,0.14941385700527138,0.14849469991138864,0.20667415827590457,0.23452476057360372,0.23307331797394243,0.3537917682561033,0.3653090556761727,"Miami, FL",Miami,FL,25.7839,0.0
11,Dallas Area Rapid Transit (DART),Dallas,0.45243815564407464,0.570351922256898,0.050379897212779724,0.07241105688614632,0.3479876165907447,1.4149117228671393,0.8293860501779934,0.7974528389102493,0.66525473039969,0.6526048741331527,0.8674837654492465,0.6836462791243432,0.6846915416473363,0.7753835533962107,0.7665471196198219,1.0713833309845244,"Dallas, TX",Dallas,TX,32.7936,0.0
12,Denver Regional Transportation District (RTD),Denver,0.22446594555756869,0.30339340165220313,0.028168166852769554,0.5694006600662362,0.3608679781123735,0.14644819444097656,0.13274308720958294,0.17430065796114141,0.34073868177827304,0.1407879594424402,0.1779983460460542,0.27546205202965485,0.8601755709443829,0.3205323771293404,0.4686330560767374,0.4853816252583681,"Denver, CO",Denver,CO,39.7621,0.0
13,Fort Worth Transportation Authority (FWTA),Fort Worth,0.2564391638278214,0.3509001114080014,0.6769001004757016,0.6146018063000895,0.5737696474005596,0.29192027081576605,0.07795498625278587,0.5249198233932001,0.20809509592962497,0.6793141219634997,0.8813554286348901,0.5706803363003756,0.8684420004206577,1.3194182963744483,1.1582122605895997,0.5512599303637916,"Fort Worth, TX",Fort Worth,TX,32.7811,0.0
14,"Golden Gate Bridge, Highway and Transportation District (GGBHTD)",San Francisco,0.2077185166062593,0.3836744836505224,0.358946226089692,1.0731146730797265,0.8993491600127601,1.1942859198546767,1.017051666978999,1.1090664910488635,0.5375929493874737,0.96952944256721,2.0521686050153773,0.33213980007636706,0.3235964066332628,0.6515963516858438,0.5205202410847014,1.7774831906643611,"San Francisco, CA",San Francisco,CA,37.7562,0.0
15,Greater Dayton Regional Transit Authority (GDRTA),Dayton,0.12007192839518661,0.15727797077717978,0.24318223166949166,0.3517361515972454,0.12145458329186966,0.09300963853065655,0.19833203708691866,0.10480832525890799,0.09075258963558652,0.1267208282908822,0.13822437361427906,0.13394788472388655,0.1619826548563316,0.14316461680902257,0.23167465166623039,0.17335125657355951,"Dayton, OH",Dayton,OH,39.7797,0.0
16,Indianapolis and Marion County Public Transportation (IndyGo),Indianapolis,0.16148251413074732,0.20643575559582827,0.3036724145549752,0.2590258762842285,0.12332111003979122,0.1366860053454363,0.14285546053595177,0.05529043277513718,0.058091204706692455,0.7536455692515843,0.07098628194163628,0.10159493886327482,0.14449158203616083,0.10628984916670267,0.15372246063102774,0.14825417293453896,"Indianapolis, IN",Indianapolis,IN,39.7771,0.0
17,King County Department of Metro Transit (KCM),Seattle,0.4496885314148221,0.6655453424423055,0.6557118323890595,0.4696241275947065,1.1028943062926002,0.6743746369425203,1.1743255688346437,0.9279028931244488,0.9779582037467077,0.899554817980221,0.7579927020771312,0.6612557211611835,1.0006039426937732,0.642672272022273,0.7551253778252901,2.348386630215032,"Seattle, WA",Seattle,WA,47.6211,0.0
18,Los Angeles County Metropolitan Transportation Authority (LACMTA),Los Angeles,0.0483083043032562,0.046038392414234464,0.07670589120130321,0.05862907628111354,0.09665909403337587,0.07736987080529721,0.07929943813321061,0.07060841831060671,0.06900307667576099,0.06146314627650542,0.07499101889027775,0.09748411085344358,0.11425534447000615,0.12273266389025804,0.14072161670028738,0.2229823783108364,"Los Angeles, CA",Los Angeles,CA,34.1139,0.0
19,MTA New York City Transit (NYCT),Brooklyn,0.05275652903327777,0.05907820184073237,0.07016756635935079,0.07031848603688416,0.0916485417920701,0.0856433766912595,0.4377689534924971,0.554518310767735,0.4987253026670151,0.4469111775521525,0.15132459470442358,0.5687766504034112,0.4712653177094131,0.8147685856926274,0.7412210450161519,0.9241301993732505,"Brooklyn, NY",Brooklyn,NY,40.6501,0.0
