,Agency Name,City_x,State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,place_id,City_y,state_id,lat,lon
17,King County Department of Metro Transit (KCM),Seattle,WA,65728777.0,63133885.0,104405709.0,80330693.0,61569840.0,60690461.0,91089080.0,116770114.0,68003257.0,190387962.0,108432041.0,73849270.0,53100623.0,107277206.0,131219244.0,74338899.0,154813254.0,65908041.0,529089771.0,"Seattle, WA",Seattle,WA,47.6211,-122.3244
18,Los Angeles County Metropolitan Transportation Authority (LACMTA),Los Angeles,CA,274933839.0,216518903.0,295041027.0,439404661.0,430944438.0,397120931.0,290372078.0,360796780.0,442851651.0,384261206.0,433997454.0,362714924.0,397636275.0,964808146.0,620035733.0,547258487.0,913257175.0,653482304.0,865338254.0,"Los Angeles, CA",Los Angeles,CA,34.1139,-118.4068
19,MTA New York City Transit (NYCT),Brooklyn,NY,625181653.0,629522263.0,666909392.0,817270181.0,1095507762.0,1107595413.0,1523169023.0,1447145137.0,947979687.0,1088653591.0,1140457033.0,1013244068.0,1129937373.0,1208115029.0,820023248.0,1019852680.0,914331747.0,959281192.0,3774919329.0,"Brooklyn, NY",Brooklyn,NY,40.6501,-73.9496
20,Maryland Transit Administration (MTA),Baltimore,MD,133511834.0,142523118.0,142167671.0,117245065.0,91852358.0,95921725.0,132645950.0,194102712.0,250772506.0,250360833.0,264044636.0,162295781.0,201790628.0,153873075.0,176551922.0,214613939.0,227367754.0,194218207.0,218413073.0,"Baltimore, MD",Baltimore,MD,39.3051,-76.6144
21,Massachusetts Bay Transportation Authority (MBTA),Boston,MA,129133685.0,116013566.0,197400028.0,159637742.0,158056697.0,164153009.0,260605001.0,248629704.0,203354878.0,200711731.0,183730072.0,291232395.0,343000207.0,311713047.0,289204828.0,352387977.0,327632963.0,481116989.0,1022741304.0,"Boston, MA",Boston,MA,42.3188,-71.0846
22,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad (MTA-MNCR)",New York,NY,126799244.0,106976818.0,92882528.0,72842045.0,51108902.0,134802994.0,189315116.0,145801900.0,110125718.0,66238258.0,94906341.0,85146253.0,90896395.0,86008202.0,74494540.0,66170689.0,132174568.0,110320180.0,487122388.0,"New York, NY",New York,NY,40.6943,-73.9249
23,Metropolitan Atlanta Rapid Transit Authority (MARTA),Atlanta,GA,94753030.0,126182984.0,96296643.0,89828925.0,75448948.0,76677007.0,122722782.0,124832979.0,129124047.0,103966350.0,103383212.0,130582706.0,139774589.0,131043089.0,105047102.0,89046892.0,103036556.0,125318243.0,210618867.0,"Atlanta, GA",Atlanta,GA,33.7627,-84.4224
24,New Jersey Transit Corporation,Newark,NJ,199465091.0,469334023.0,576633320.0,481782411.0,497489706.0,469710467.0,772887112.0,632360795.0,713217965.0,571650095.0,562321599.0,705404546.0,771545681.0,718140563.0,689045633.0,539911201.0,774883462.0,591698356.0,1025911858.0,"Newark, NJ",Newark,NJ,40.7245,-74.1725
25,New Orleans Regional Transit Authority (NORTA),New Orleans,LA,49394363.0,65629929.0,42366792.0,0.0,57059162.0,17515274.0,64318951.0,59062353.0,73988349.0,30186049.0,57137815.0,24204654.0,17288018.0,17179838.0,19936331.0,30254859.0,26297459.0,22711116.0,68344204.0,"New Orleans, LA",New Orleans,LA,30.0687,-89.9288
26,Northeast Illinois Regional Commuter Railroad Corporation,Chicago,IL,151130541.0,222885444.0,175566350.0,184327372.0,196378903.0,150402995.0,100647293.0,117154042.0,173393051.0,201434994.0,140495601.0,121872458.0,117359069.0,140847986.0,145486952.0,164576390.0,154700902.0,200229443.0,368220925.0,"Chicago, IL",Chicago,IL,41.8373,-87.6862
27,Northern Indiana Commuter Transportation District (NICTD),Chesterton,IN,16114091.0,16801033.0,19463311.0,18891604.0,19380341.0,12526420.0,12129711.0,12376127.0,14131738.0,14405301.0,9460876.0,5001218.0,13751032.0,15570354.0,22444533.0,15847893.0,16547771.0,25199745.0,92459443.0,"Chesterton, IN",Chesterton,IN,41.5997,-87.0548
