,Agency Name,City_x,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,place_id,City_y,state_id,lat,lon
10,County of Miami-Dade (MDT),Miami,2.324535736261556,3.373919871349809,3.6460300575404725,4.050509777059399,4.790005425409568,3.176495309792537,2.855357068629576,2.9092810038581165,2.981893461734103,3.071338976739485,3.930321794705526,4.071095960297583,4.590551302832956,5.886315631172056,7.621666863482901,11.881568550548852,"Miami, FL",Miami,FL,25.7839,-80.2102
11,Dallas Area Rapid Transit (DART),Dallas,0.39187907856524434,1.2625959566112799,8.75278172495465,12.118114982763577,14.976561567980749,14.114963861688429,10.8917408453684,8.164729888065684,9.323067605585894,8.662456636671486,9.22897380744474,9.69178275298171,8.530184003394194,9.194478810053768,9.832255900439234,11.299523988394734,"Dallas, TX",Dallas,TX,32.7936,-96.7662
12,Denver Regional Transportation District (RTD),Denver,4.464236285570744,4.173991042442604,2.9922937781984906,4.634029118535911,5.296243847068829,8.2056491494637,6.490564571602543,8.658325690805604,8.795200705828004,8.909830843838748,10.430327554333083,8.409264436000043,7.485496602768357,6.527070500880158,7.733146273749596,8.16497922090604,"Denver, CO",Denver,CO,39.7621,-104.8759
13,Fort Worth Transportation Authority (FWTA),Fort Worth,4.051119722603293,4.543375227486835,4.179939457042477,4.1567456689411575,4.19715602795307,5.497448306671944,6.337918877309923,4.821856764229226,5.554616936118842,5.411823616711538,8.141784153045876,11.586618687121057,15.45786949272932,18.71404478422124,23.887731404481414,18.666570104728272,"Fort Worth, TX",Fort Worth,TX,32.7811,-97.3473
14,"Golden Gate Bridge, Highway and Transportation District (GGBHTD)",San Francisco,3.7517129240246048,3.536469266898741,4.027274516600709,4.746938925323074,5.960406689248023,6.225382984561242,5.879198456044038,5.768080620824027,5.6991474803767215,7.013931866973349,8.649311286872857,8.653184577670096,9.654292542820604,11.504356818570157,13.76105310082884,18.08707323587265,"San Francisco, CA",San Francisco,CA,37.7562,-122.443
15,Greater Dayton Regional Transit Authority (GDRTA),Dayton,2.5825480177720146,2.695339049006652,2.655244933921762,2.478052708689747,2.950157604341374,2.746518568290977,2.6107135870110927,3.0686639001083345,3.085551096438759,3.1683949317080056,3.563563988479885,4.905716067912555,5.784412518132156,5.6870482137559915,5.788464113696907,1.9505051964858307,"Dayton, OH",Dayton,OH,39.7797,-84.1998
16,Indianapolis and Marion County Public Transportation (IndyGo),Indianapolis,1.8853507858117697,1.9839696642595217,2.255808839369061,1.7928705404639003,2.319812672065567,2.544617562202899,2.4873909501003557,2.6386133529725075,2.153102124388226,4.646469852104449,3.3122114604978665,3.971904574132492,4.364593305236126,7.418785723199527,15.074068353897077,10.701112923600823,"Indianapolis, IN",Indianapolis,IN,39.7771,-86.1458
17,King County Department of Metro Transit (KCM),Seattle,2.9597625851703953,2.930528555436745,2.9456689849071505,3.049768400204603,2.4338843854061283,3.2435040326412516,3.1403694802138475,3.3929059161180324,3.009238429165805,3.2503262375455475,3.3231977807677198,4.238763128032246,4.16102502400996,5.436254227361548,5.588506612733379,4.697933418601962,"Seattle, WA",Seattle,WA,47.6211,-122.3244
18,Los Angeles County Metropolitan Transportation Authority (LACMTA),Los Angeles,1.999318995110769,1.472260977887836,1.5403065877607394,1.7166944248594478,1.7179034207637784,1.9619091606546888,2.331269441394513,2.3106727743707864,2.834693342788649,3.724104518049918,4.0529864458929366,5.066235756714566,5.657438855390337,5.075587757309555,5.623619135830867,10.293417109620204,"Los Angeles, CA",Los Angeles,CA,34.1139,-118.4068
19,MTA New York City Transit (NYCT),Brooklyn,0.7377862774432794,0.663172094585967,0.8802993845773917,0.8829275359877896,0.9454361714462245,0.9055592238018799,0.4489775124992519,0.5357137489339868,0.4692635041537856,0.49954053932628606,0.9079666450553138,0.5047211765185914,0.44707446591560585,0.4498862659119841,0.4456423204700847,0.9129951303164441,"Brooklyn, NY",Brooklyn,NY,40.6501,-73.9496
20,Maryland Transit Administration (MTA),Baltimore,0.00446040024090853,0.004605911819973775,0.06063953346626555,0.014018334819392377,0.0,0.0,0.0,0.0,0.0,0.0,0.005640922352810413,0.0,0.0,0.0,0.0,0.0,"Baltimore, MD",Baltimore,MD,39.3051,-76.6144
21,Massachusetts Bay Transportation Authority (MBTA),Boston,1.186784133840082,1.2342392421429351,1.355688927730316,0.6792916051666232,1.0749976335331655,0.8707313210383696,0.8066188294126018,0.7850146498440479,0.6529425457926726,0.6309623977204761,0.7784526967910907,0.7562391601688979,0.8472919684704878,0.5495759468645994,0.46444863575568773,0.10730005756878462,"Boston, MA",Boston,MA,42.3188,-71.0846
22,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad (MTA-MNCR)",New York,6.026604263441678,5.15119707411415,3.619529582986163,4.27659625427442,4.075724005708364,3.0113349135354204,2.8753892482621506,2.9796783972245358,3.8259973867033654,3.704551519862268,3.0718254734688233,4.322567300468325,5.305352501602947,4.249842068984311,5.711580923044232,10.232369064394575,"New York, NY",New York,NY,40.6943,-73.9249
