,Agency Name,City_x,State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,place_id,City_y,state_id,lat,lon
17,King County Department of Metro Transit (KCM),Seattle,WA,370826287.0,388729229.0,405312470.0,401333346.0,431126653.0,460227820.0,499629139.0,498080675.0,513110170.0,528645842.0,561760119.0,578174058.0,588243184.0,591089442.0,625735838.0,686913987.0,729518390.0,797569050.0,802227614.0,"Seattle, WA",Seattle,WA,47.6211,-122.3244
18,Los Angeles County Metropolitan Transportation Authority (LACMTA),Los Angeles,CA,861277753.0,893843137.0,884852093.0,975403547.0,1048351212.0,1122018976.0,1171081714.0,1182525993.0,1214103384.0,1240450957.0,1245808764.0,1324192388.0,1369269347.0,1404770454.0,1574418345.0,1741996870.0,1777308055.0,1918638766.0,1841473552.0,"Los Angeles, CA",Los Angeles,CA,34.1139,-118.4068
19,MTA New York City Transit (NYCT),Brooklyn,NY,3808129045.0,4055533208.0,4317357532.0,4636652374.0,4775944254.0,5397368807.0,5906808818.0,6043350246.0,6099922228.0,6366441275.0,6685391347.0,7030022172.0,7319090359.0,7454981018.0,7960014481.0,8103604541.0,8414871496.0,8754708142.0,8258335723.0,"Brooklyn, NY",Brooklyn,NY,40.6501,-73.9496
20,Maryland Transit Administration (MTA),Baltimore,MD,325192292.0,360238062.0,364201990.0,401411841.0,428508151.0,463100605.0,528989706.0,550285462.0,570763245.0,569246125.0,597623138.0,595274226.0,669555905.0,651833634.0,642721338.0,696680357.0,756227413.0,836206553.0,805145982.0,"Baltimore, MD",Baltimore,MD,39.3051,-76.6144
21,Massachusetts Bay Transportation Authority (MBTA),Boston,MA,777599110.0,807022086.0,841426954.0,893131388.0,944126332.0,987148623.0,1045213612.0,1143483509.0,1179805066.0,1222769650.0,1295890428.0,1329645863.0,1430423586.0,1490330937.0,1501088692.0,1522996917.0,1495344198.0,1505768212.0,1556792859.0,"Boston, MA",Boston,MA,42.3188,-71.0846
22,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad (MTA-MNCR)",New York,NY,600924487.0,631267928.0,677825503.0,715128591.0,753544514.0,807434660.0,861740088.0,863049607.0,893932807.0,915597999.0,945225586.0,1077417421.0,1160797109.0,1140503687.0,1165305833.0,1226749594.0,1265170126.0,1264815659.0,1207182081.0,"New York, NY",New York,NY,40.6943,-73.9249
23,Metropolitan Atlanta Rapid Transit Authority (MARTA),Atlanta,GA,295210817.0,309601747.0,298761808.0,308987826.0,306225384.0,373519151.0,368381357.0,390505381.0,403086298.0,410110188.0,411314379.0,399585092.0,412668413.0,400114900.0,433027704.0,432878536.0,467447046.0,488597966.0,492839897.0,"Atlanta, GA",Atlanta,GA,33.7627,-84.4224
24,New Jersey Transit Corporation,Newark,NJ,1053032748.0,1152598423.0,1305496114.0,1399514912.0,1506086592.0,1605189531.0,1691432761.0,1849864232.0,1798688324.0,1800267682.0,1890514517.0,1983325092.0,2058436952.0,2042445532.0,2217813596.0,2089637619.0,2169853776.0,2265083531.0,2325547904.0,"Newark, NJ",Newark,NJ,40.7245,-74.1725
25,New Orleans Regional Transit Authority (NORTA),New Orleans,LA,100955963.0,102900896.0,116258709.0,0.0,74568706.0,72399564.0,75420778.0,76174431.0,88910496.0,93855676.0,90609707.0,85008724.0,97954696.0,99736189.0,117798729.0,117848306.0,105958225.0,124524440.0,119271522.0,"New Orleans, LA",New Orleans,LA,30.0687,-89.9288
26,Northeast Illinois Regional Commuter Railroad Corporation,Chicago,IL,423543335.0,431421380.0,439438126.0,477854973.0,472067189.0,490677586.0,538006078.0,548648030.0,562779173.0,596040975.0,627591444.0,664075548.0,678128337.0,706682336.0,722591592.0,742720322.0,761950311.0,782173784.0,710195494.0,"Chicago, IL",Chicago,IL,41.8373,-87.6862
27,Northern Indiana Commuter Transportation District (NICTD),Chesterton,IN,28061683.0,29214300.0,30756390.0,31343073.0,33276463.0,36361248.0,38521993.0,39250585.0,39327123.0,39198932.0,39686549.0,39502921.0,44361114.0,44487394.0,48080595.0,48458271.0,51197364.0,51937100.0,52725065.0,"Chesterton, IN",Chesterton,IN,41.5997,-87.0548
28,Pace - Suburban Bus Division,Arlington Heights,IL,131508319.0,139357745.0,147202012.0,159703557.0,199121950.0,162182757.0,172029830.0,175023280.0,177245148.0,182955589.0,193582649.0,198189533.0,213027325.0,200721326.0,219290896.0,227363173.0,228409039.0,236180056.0,207678093.0,"Arlington Heights, IL",Arlington Heights,IL,42.0955,-87.9825
29,Peninsula Corridor Joint Powers Board (PCJPB),San Carlos,CA,61363860.0,61180287.0,63603630.0,71159574.0,73523797.0,78796489.0,87942440.0,91358956.0,89661611.0,96521643.0,102010261.0,106479678.0,113551144.0,119462254.0,116321647.0,131580153.0,131739589.0,140063276.0,134870969.0,"San Carlos, CA",San Carlos,CA,37.4982,-122.268
30,Port Authority of Allegheny County,Pittsburgh,PA,241331515.0,243474306.0,255636083.0,274472430.0,299142652.0,302053022.0,339654669.0,346147628.0,366603922.0,371735602.0,372681961.0,358982600.0,367046737.0,377183767.0,397642850.0,400237217.0,413724624.0,433535787.0,434687600.0,"Pittsburgh, PA",Pittsburgh,PA,40.4396,-79.9762
31,Rhode Island Public Transit Authority (RIPTA),Providence,RI,53217881.0,70325226.0,75417358.0,77934841.0,84415352.0,88981731.0,95777543.0,96408250.0,97588067.0,108636501.0,110685909.0,102497848.0,102073462.0,100949162.0,101552615.0,103254973.0,109642888.0,115803446.0,122067142.0,"Providence, RI",Providence,RI,41.823,-71.4187
32,San Diego Metropolitan Transit System (MTS),San Diego,CA,76178473.0,66838941.0,75525835.0,78148357.0,73284400.0,187002701.0,194873622.0,199447174.0,203981733.0,201136596.0,212703280.0,226604205.0,228192306.0,240702811.0,250808312.0,268652470.0,284436283.0,281913694.0,291553478.0,"San Diego, CA",San Diego,CA,32.8312,-117.1225
33,San Francisco Bay Area Rapid Transit District (BART),Oakland,CA,331117079.0,331957634.0,375210597.0,412058463.0,420331967.0,467105916.0,478986881.0,484177232.0,463074086.0,450366069.0,488882256.0,525441612.00000006,533993709.0,580245794.0,625985145.0,626647358.0,653090020.0,673032280.0,681983690.0,"Oakland, CA",Oakland,CA,37.7903,-122.2165
34,Santa Clara Valley Transportation Authority (VTA),San Jose,CA,311434107.0,297313335.0,264726275.0,265007175.0,282526707.0,289386976.0,288961143.0,288515472.0,287930973.0,289279147.0,302683422.0,316924402.0,332981583.0,342743193.0,359996459.0,381758989.0,410229473.0,418667005.0,403260461.0,"San Jose, CA",San Jose,CA,37.3019,-121.8486
35,Southeastern Pennsylvania Transportation Authority (SEPTA),Philadelphia,PA,748810303.0,777097779.0,800823697.0,856158895.0,867326770.0,916470647.0,975577522.0,1032868811.0,1075163222.0,1119377568.0,1163326950.0,1160054350.0,1201906826.0,1218758061.0,1234831700.0,1251893342.0,1283089390.0,1320509801.0,1301894928.0,"Philadelphia, PA",Philadelphia,PA,40.0077,-75.1339
36,Staten Island Rapid Transit Operating Authority (SIRTOA),Staten Island,NY,25409257.0,25270326.0,26374887.0,27335692.0,27717289.0,32906212.0,29399234.0,40503039.0,35631028.0,33112333.0,40343489.0,42759657.0,48335600.0,50038127.0,63945266.0,70519413.0,59532166.0,57623801.0,56677874.0,"Staten Island, NY",Staten Island,NY,40.5834,-74.1496
37,The Greater Cleveland Regional Transit Authority (GCRTA),Cleveland,OH,209342754.0,215059502.0,213621002.0,215989635.0,218934195.0,229539219.0,241054295.0,229323300.0,203076618.0,206134879.0,221816208.0,228933700.0,250399213.0,240024901.0,262003644.0,255147527.0,245830559.0,300662840.0,259797759.0,"Cleveland, OH",Cleveland,OH,41.4767,-81.6804
38,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,243377611.0,245119523.0,262590823.0,293468796.0,300281645.0,310340114.0,338052167.0,365328114.0,385015442.0,363817647.0,371819061.0,381074322.0,392338402.0,391607413.0,426092877.0,448729653.0,480116590.0,519559059.0,518451362.0,"Portland, OR",Portland,OR,45.5372,-122.65
39,Utah Transit Authority (UTA),Salt Lake City,UT,122537588.0,121156511.0,124649703.0,129030561.0,136824235.0,151050068.0,176185048.0,182937098.0,176478141.0,187386434.0,202039263.0,218586616.0,235047222.0,234264036.0,268970123.0,257734621.0,300954051.0,311049152.0,319885004.0,"Salt Lake City, UT",Salt Lake City,UT,40.7777,-111.9306
40,VIA Metropolitan Transit (VIA),San Antonio,TX,95605054.0,97696825.0,101118028.0,109165578.0,118662319.0,129230504.0,148779235.0,141596032.0,148612200.0,159826199.0,167338812.0,175091334.0,182865896.0,198826420.0,209033018.0,205601052.0,206472128.0,222217513.0,222032078.0,"San Antonio, TX",San Antonio,TX,29.4658,-98.5253
41,"Valley Metro Rail, Inc. (VMR)",Phoenix,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15678389.0,32964700.0,31020108.0,28909660.0,28711628.0,31260365.0,31288715.0,35076276.0,41487087.0,43021498.0,48417272.0,50925795.0,"Phoenix, AZ",Phoenix,AZ,33.5722,-112.0891
42,Washington Metropolitan Area Transit Authority (WMATA),Washington,DC,829560201.0,876771766.0,959087777.0,1035384754.0,1164755554.0,1240615192.0,1338330565.0,1417185044.0,1442921263.0,1497170206.0,1513176930.0,1581103625.0,1641588493.0,1722371525.0,1709025227.0,1745661027.0,1861124009.0,2019388171.0,2028885121.0,"Washington, DC",Washington,DC,38.9047,-77.0163
43,Washington State Ferries (WSF),Olympia,WA,162312719.0,159445754.0,158648160.0,170254002.0,188959048.0,208763329.0,233049968.0,220639197.0,208388543.0,224928837.0,231644599.0,229886930.0,236711555.0,236320045.0,242491006.0,241245546.0,264852944.0,270887660.0,270557025.0,"Olympia, WA",Olympia,WA,47.0417,-122.8959
