,Agency Name,City_x,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,place_id,City_y,state_id,lat,lon
23,Metropolitan Atlanta Rapid Transit Authority (MARTA),Atlanta,3.9206402745999016,4.139623931221564,4.4302967723091475,4.572158273685302,4.660314979289563,4.515606489055889,4.489486169869461,5.120348643817336,4.881506352863951,5.544432746549435,5.517085339620288,5.580138816481591,5.619634694803276,7.108007717465437,8.272432953813922,16.09601473389769,"Atlanta, GA",Atlanta,GA,33.7627,-84.4224
24,New Jersey Transit Corporation,Newark,8.707924829217111,8.636459512058524,8.408789031166075,9.93812527514467,9.487289605406557,10.586647421104338,8.931797149893102,9.416443954675183,10.466968190868334,9.939812778466578,9.510142220090023,10.096158468006132,9.903689470369603,10.422345793350829,11.467239947318701,25.859234528053285,"Newark, NJ",Newark,NJ,40.7245,-74.1725
25,New Orleans Regional Transit Authority (NORTA),New Orleans,0.0,,10.673375397077825,10.535755144010475,10.976888756798608,10.880215750336115,7.641806897666207,6.280295578405974,4.531739520128263,5.67067875376459,5.5293697647745335,6.5785104888014825,7.124998353300052,6.814332950103787,8.551252407899215,15.52194359502811,"New Orleans, LA",New Orleans,LA,30.0687,-89.9288
26,Northeast Illinois Regional Commuter Railroad Corporation,Chicago,12.128326384510077,10.727236876609153,9.512109271010692,9.612237026090897,10.50565490179187,12.181917264247993,13.71764046348587,12.471400051598334,13.272086063905375,12.778557821619124,13.198903236738397,13.637934822884496,13.925904619935782,15.18100803171961,18.034309266027023,60.743631519181335,"Chicago, IL",Chicago,IL,41.8373,-87.6862
27,Northern Indiana Commuter Transportation District (NICTD),Chesterton,16.373956174718515,15.09239511162524,20.85530963592831,18.088017835699148,18.225917505282396,19.64761168580565,17.74457011358789,14.345634167898458,14.856175313826787,16.40474976809881,16.228915705950296,28.05786426108993,29.49384288980804,30.197002703078674,32.07623455088815,160.73821691193098,"Chesterton, IN",Chesterton,IN,41.5997,-87.0548
28,Pace - Suburban Bus Division,Arlington Heights,5.273579093212883,6.209723835353371,5.242952188040664,5.368225579762465,6.223266518424959,6.884694773806164,6.021678954531736,6.560977623001823,6.892537586965473,7.928642892423104,7.6610152218292225,9.360295588960216,10.868578660479708,9.58955253229491,8.902716241090989,18.708215280335192,"Arlington Heights, IL",Arlington Heights,IL,42.0955,-87.9825
29,Peninsula Corridor Joint Powers Board (PCJPB),San Carlos,12.53178841983055,14.751801811551534,13.435442965236373,12.891575012239548,12.574827577240121,12.02310422903926,13.538595751721333,12.254148669368083,11.45641870699256,12.396857163287946,13.276295952191715,13.181007098608301,20.311201469269985,23.807561389855607,30.95061711453055,102.80344952271652,"San Carlos, CA",San Carlos,CA,37.4982,-122.268
30,Port Authority of Allegheny County,Pittsburgh,6.487765188325317,5.644433912666926,6.863993522980201,6.98347648107647,7.3751070443781845,8.334265886845763,8.641204931357867,7.731203320176537,6.691987971352944,6.720713832957678,6.922751567646964,7.621903566326417,7.949143907154727,8.454948911981667,8.319266839681369,17.51568802480795,"Pittsburgh, PA",Pittsburgh,PA,40.4396,-79.9762
31,Rhode Island Public Transit Authority (RIPTA),Providence,3.6385537597511926,3.712153112135349,3.576294931959884,4.697517703898888,6.350077941366428,6.715228528376591,8.242531442963273,5.434076342745132,7.063285039173471,5.843709499429549,6.23277573175522,7.1638489358556745,8.012496453505788,7.514315093435209,8.142090484668298,17.092716607418176,"Providence, RI",Providence,RI,41.823,-71.4187
32,San Diego Metropolitan Transit System (MTS),San Diego,3.054024229511292,2.9661092887253977,9.305199050246637,3.0397793098997,3.6316588298432895,3.403605112930855,3.102682322475658,4.8474696354714855,5.936735444587893,4.654749611463104,5.752818947133131,4.311427865456772,4.164068744048088,4.932547861297013,5.046270164411734,9.324652979343272,"San Diego, CA",San Diego,CA,32.8312,-117.1225
