,Agency Name,City_x,State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,place_id,City_y,state_id,lat,lon
17,King County Department of Metro Transit (KCM),Seattle,WA,493524290.0,506818105.0,651927092.0,509808277.0,535030832.0,572783766.0,651636069.0,668646858.0,669733012.0,867772522.0,817791736.0,762388692.0,782670566.0,831702187.0,988752004.0,977686819.0,1203407494.0,1146900335.0,1049288605.0,"Seattle, WA",Seattle,WA,47.6211,-122.3244
18,Los Angeles County Metropolitan Transportation Authority (LACMTA),Los Angeles,CA,1080581624.0,1181905890.0,1241792206.0,1701937665.0,1611834485.0,1716791788.0,1796410582.0,1894152103.0,1977423542.0,2134272822.0,2153909557.0,2290690252.0,2943273646.0,3471272614.0,3366668470.0,3308450351.0,3556381509.0,3690820991.0,4219217705.0,"Los Angeles, CA",Los Angeles,CA,34.1139,-118.4068
19,MTA New York City Transit (NYCT),Brooklyn,NY,6568027269.0,6615298475.0,6776866866.0,6908101353.0,7089910725.0,8937562881.0,10324937889.0,10849278188.0,10351102991.0,10558839687.0,11736537714.0,11549636594.0,11728670029.0,11297746687.0,11754276540.0,11978450917.0,12608626824.0,13422420400.0,11956026313.0,"Brooklyn, NY",Brooklyn,NY,40.6501,-73.9496
20,Maryland Transit Administration (MTA),Baltimore,MD,510262007.0,518636066.0,561803991.0,623215800.0,627461413.0,572140194.0,688463063.0,771886878.0,842836263.0,864791844.0,947713577.0,957349138.0,1033439685.0,1113857814.0,1035940459.0,1122340715.0,1070498203.0,1110140167.0,1486903946.0,"Baltimore, MD",Baltimore,MD,39.3051,-76.6144
21,Massachusetts Bay Transportation Authority (MBTA),Boston,MA,1381166809.0,1411343240.0,1666341697.0,1644704224.0,1675006109.0,1793052735.0,1704862920.0,1929943808.0,1850233974.0,1916049784.0,1996102056.0,2094548523.0,2312856149.0,2494907323.0,2570272803.0,2654198411.0,2572020063.0,2931898288.0,2841673451.0,"Boston, MA",Boston,MA,42.3188,-71.0846
22,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad (MTA-MNCR)",New York,NY,954304282.0,933620082.0,1127128675.0,1195383679.0,1161654265.0,1191490959.0,1367482775.0,1282956701.0,1202390386.0,1148925890.0,1267410128.0,1439902234.0,1490784262.0,1467423879.0,1579445451.0,1728407411.0,1803821523.0,1907365419.0,1852116423.0,"New York, NY",New York,NY,40.6943,-73.9249
23,Metropolitan Atlanta Rapid Transit Authority (MARTA),Atlanta,GA,588185410.0,619703218.0,549640302.0,549540896.0,595834353.0,650645904.0,724932657.0,700254371.0,647351047.0,614115821.0,671410995.0,638418348.0,743308865.0,743158904.0,712956575.0,699212600.0,836187286.0,949580956.0,921178239.0,"Atlanta, GA",Atlanta,GA,33.7627,-84.4224
24,New Jersey Transit Corporation,Newark,NJ,1672339561.0,2075452675.0,2182410017.0,2157168571.0,2267667859.0,2293853640.0,2798617112.0,2593034981.0,2800462774.0,2329117867.0,2505279077.0,2828367837.0,2734305316.0,2631467793.0,2752562287.0,2633056642.0,2771717202.0,3067659222.0,3188704718.0,"Newark, NJ",Newark,NJ,40.7245,-74.1725
25,New Orleans Regional Transit Authority (NORTA),New Orleans,LA,141238084.0,160055479.0,135915417.0,0.0,89215893.0,88693284.0,119757948.0,126092542.0,150344932.0,119734230.0,143725588.0,98725024.0,110394449.0,108581821.0,130028549.0,141703834.0,129347358.0,139527442.0,118453912.0,"New Orleans, LA",New Orleans,LA,30.0687,-89.9288
26,Northeast Illinois Regional Commuter Railroad Corporation,Chicago,IL,786894273.0,933375395.0,881673172.0,846877988.0,773075768.0,715446764.0,741748129.0,751702416.0,858608061.0,991867437.0,925958864.0,976867567.0,950496528.0,958651798.0,985880935.0,983060453.0,1039082904.0,1108328467.0,1016303582.0,"Chicago, IL",Chicago,IL,41.8373,-87.6862
27,Northern Indiana Commuter Transportation District (NICTD),Chesterton,IN,61106497.0,63504836.0,67968425.0,62279292.0,63511636.0,88550018.0,75614788.0,70809020.0,72974118.0,65766576.0,52621192.0,53585125.0,59280335.0,58704305.0,98317001.0,101926061.0,102675758.0,105325620.0,159942402.0,"Chesterton, IN",Chesterton,IN,41.5997,-87.0548
28,Pace - Suburban Bus Division,Arlington Heights,IL,163126745.0,210924876.0,166641111.0,194314261.0,234989661.0,191547866.0,202491643.0,200524233.0,222265431.0,203024808.0,232256633.0,247619596.0,275843956.0,253708171.0,291756997.0,340952736.0,289679822.0,253911708.0,272494360.0,"Arlington Heights, IL",Arlington Heights,IL,42.0955,-87.9825
29,Peninsula Corridor Joint Powers Board (PCJPB),San Carlos,CA,150528251.0,169989492.0,183424091.0,137474521.0,173114371.0,171148371.0,185112575.0,169252778.0,163555060.0,189596106.0,184710790.0,195213239.0,226239606.0,243610578.0,252486198.0,357798530.0,456033767.0,561589260.0,496975931.0,"San Carlos, CA",San Carlos,CA,37.4982,-122.268
30,Port Authority of Allegheny County,Pittsburgh,PA,476903286.0,439713681.0,411140855.0,451992616.0,397503072.0,473757171.0,478534639.0,498707091.0,542555642.0,549123704.0,506074426.0,427207150.0,435490811.0,443107301.0,484821542.0,500732004.0,542991294.0,533676492.0,527990868.0,"Pittsburgh, PA",Pittsburgh,PA,40.4396,-79.9762
31,Rhode Island Public Transit Authority (RIPTA),Providence,RI,81382131.0,75470143.0,82287952.0,83721743.0,95295128.0,92532794.0,100519997.0,113609327.0,121735355.0,156673947.0,109646521.0,144268833.0,115731774.0,113022394.0,124442876.0,131517894.0,125254390.0,133687524.0,155276015.0,"Providence, RI",Providence,RI,41.823,-71.4187
32,San Diego Metropolitan Transit System (MTS),San Diego,CA,79224622.0,70384398.0,71638852.0,75731497.0,75073810.0,253276873.0,264494426.0,294793354.0,268476647.0,261224623.0,408744699.0,510721707.0,433922834.0,548757079.0,386054844.0,360399825.0,420980160.0,436759729.0,428477903.0,"San Diego, CA",San Diego,CA,32.8312,-117.1225
33,San Francisco Bay Area Rapid Transit District (BART),Oakland,CA,911896567.0,686386509.0,589253638.0,635222520.0,607643657.0,697040302.0,833904252.0,946036788.0,930343711.0,998798058.0,1070952154.0,1215429164.0,1198889380.0,1174638131.0,1190692080.0,1301641555.0,1267968890.0,1453785826.0,1850052578.0,"Oakland, CA",Oakland,CA,37.7903,-122.2165
34,Santa Clara Valley Transportation Authority (VTA),San Jose,CA,693084317.0,795839565.0,558306200.0,551040514.0,476740180.0,458612500.0,534228920.0,537678006.0,464897186.0,497775315.0,596664662.0,637480280.0,758344831.0,888150209.0,869358478.0,783276419.0,699549825.0,770707238.0,837687981.0,"San Jose, CA",San Jose,CA,37.3019,-121.8486
35,Southeastern Pennsylvania Transportation Authority (SEPTA),Philadelphia,PA,1170012435.0,1168638381.0,1203260082.0,1218328308.0,1256777559.0,1319367371.0,1452726881.0,1563860623.0,1555025764.0,1553348919.0,1527905392.0,1495931198.0,1530745691.0,1715026035.0,1846041756.0,1883350794.0,2014792223.0,1998966817.0,1859727641.0,"Philadelphia, PA",Philadelphia,PA,40.0077,-75.1339
36,Staten Island Rapid Transit Operating Authority (SIRTOA),Staten Island,NY,26607817.0,26951590.0,28209521.0,28530539.0,28315852.0,33338275.0,30450954.0,41233866.0,36739861.0,34666931.0,48573101.0,42759657.0,52244887.0,92984528.0,153968691.0,127675628.0,121376410.0,164940511.0,210540593.0,"Staten Island, NY",Staten Island,NY,40.5834,-74.1496
37,The Greater Cleveland Regional Transit Authority (GCRTA),Cleveland,OH,283671264.0,274510284.0,264436110.0,274470505.0,313989516.0,322010958.0,347021804.0,307985068.0,307261948.0,236252805.0,262307831.0,306390754.0,317763702.0,334303261.0,323320709.0,321021618.0,341494428.0,354263538.0,408661700.0,"Cleveland, OH",Cleveland,OH,41.4767,-81.6804
38,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,403178037.0,396319555.0,368637208.0,342677729.0,391712708.0,528447949.0,679634859.0,604085558.0,490284790.0,506686323.0,649941004.0,816061261.0,825657935.0,665249047.0,598297378.0,580557466.0,658370227.0,761116136.0,821875213.0,"Portland, OR",Portland,OR,45.5372,-122.65
39,Utah Transit Authority (UTA),Salt Lake City,UT,387573113.0,205168095.0,185724255.0,266184572.0,402799264.0,502989961.0,803450245.0,859830824.0,815686160.0,652496789.0,526632133.0,423957644.0,381134339.0,366927446.0,404134942.0,527036447.0,515424171.0,456073662.0,484945470.0,"Salt Lake City, UT",Salt Lake City,UT,40.7777,-111.9306
40,VIA Metropolitan Transit (VIA),San Antonio,TX,103876320.0,125872604.0,110082433.0,123967122.0,145162905.0,144452001.0,175634636.0,157063744.0,182071050.0,178398977.0,207309584.0,229047488.0,223463576.0,237287828.0,254015234.0,404317240.0,301491558.0,277016377.0,265582306.0,"San Antonio, TX",San Antonio,TX,29.4658,-98.5253
41,"Valley Metro Rail, Inc. (VMR)",Phoenix,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186041414.0,65150926.0,41472013.0,41618298.0,102039625.0,118695181.0,162203377.0,101386114.0,81650715.0,158057466.0,188214884.0,374296355.0,"Phoenix, AZ",Phoenix,AZ,33.5722,-112.0891
42,Washington Metropolitan Area Transit Authority (WMATA),Washington,DC,1462211601.0,1383139957.0,1515109635.0,1376263683.0,1809635422.0,1921868605.0,1966201101.0,1925860687.0,1949941224.0,2140114831.0,2018590754.0,2162227564.0,2100947476.0,2815503851.0,2694305987.0,2359439044.0,2663085471.0,3016220344.0,2870615345.0,"Washington, DC",Washington,DC,38.9047,-77.0163
43,Washington State Ferries (WSF),Olympia,WA,238666472.0,243684322.0,229098172.0,278669107.0,279248864.0,302814155.0,298464097.0,312506249.0,339909292.0,382829457.0,315501090.0,380531684.0,371639373.0,359849101.0,420157259.0,394200718.0,450602640.0,440019901.0,429430629.0,"Olympia, WA",Olympia,WA,47.0417,-122.8959
