,Agency Name,City_x,State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,place_id,City_y,state_id,lat,lon
17,King County Department of Metro Transit (KCM),Seattle,WA,111538057.0,112914852.0,238871097.0,69870233.0,56921595.0,68363581.0,101408907.0,106449735.0,85707257.0,270975707.0,182801317.0,108158262.0,119910858.0,165187455.0,272555995.0,187914680.0,359151314.0,230691361.0,120348254.0,"Seattle, WA",Seattle,WA,47.6211,-122.3244
18,Los Angeles County Metropolitan Transportation Authority (LACMTA),Los Angeles,CA,196378871.0,263712026.0,329958440.0,566856565.0,390705299.0,430441725.0,452504911.0,529316219.0,586295974.0,725195905.0,743434928.0,802892067.0,1382834809.0,1923615067.0,1651875956.0,1399970581.0,1682819032.0,1669746773.0,2102435535.0,"Los Angeles, CA",Los Angeles,CA,34.1139,-118.4068
19,MTA New York City Transit (NYCT),Brooklyn,NY,2566756794.0,2417000159.0,2319542359.0,2112399084.0,2162896435.0,2464086716.0,3291028354.0,3843273984.0,3274415442.0,2731118030.0,3218292150.0,2885346747.0,2703612843.0,2972675796.0,2733958550.0,2938292071.0,3619868747.0,3999859000.0,2919849168.0,"Brooklyn, NY",Brooklyn,NY,40.6501,-73.9496
20,Maryland Transit Administration (MTA),Baltimore,MD,183393902.0,157533397.0,195541611.0,219783779.0,196980990.0,106713220.0,157119861.0,216777850.0,266655841.0,289409903.0,344106368.0,354698665.0,356658939.0,409951204.0,331231861.0,368443222.0,303022209.0,242872275.0,653839428.0,"Baltimore, MD",Baltimore,MD,39.3051,-76.6144
21,Massachusetts Bay Transportation Authority (MBTA),Boston,MA,377981865.0,387302854.0,599948002.0,506953841.0,503798161.0,551398574.0,402930547.0,525137905.0,389397063.0,397441057.0,404873627.0,481106523.0,604375062.0,726688892.0,710457661.0,773742623.0,591096879.0,1065450453.0,984351983.0,"Boston, MA",Boston,MA,42.3188,-71.0846
22,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad (MTA-MNCR)",New York,NY,334327703.0,281700447.0,427221412.0,455323985.0,379988482.0,356730921.0,475329856.0,381950760.0,263899121.0,181479034.0,274329259.0,314311003.0,270068866.0,272830986.0,360116887.0,424761723.0,464955572.0,567449874.0,574199247.0,"New York, NY",New York,NY,40.6943,-73.9249
23,Metropolitan Atlanta Rapid Transit Authority (MARTA),Atlanta,GA,225710064.0,239200563.0,184242038.0,174880357.0,213809015.0,195255383.0,257496870.0,204510733.0,137487618.0,103446819.0,147771026.0,171402573.0,237755158.0,218664084.0,158687878.0,141480048.0,244424367.0,298912284.0,275623930.0,"Atlanta, GA",Atlanta,GA,33.7627,-84.4224
24,New Jersey Transit Corporation,Newark,NJ,545542402.0,810077871.0,730932629.0,631269254.0,662587167.0,585564704.0,977119760.0,640422235.0,880737719.0,303339439.0,500528121.0,637079704.0,534955449.0,484913316.0,457819345.0,464213657.0,465693686.0,710006990.0,609137142.0,"Newark, NJ",Newark,NJ,40.7245,-74.1725
25,New Orleans Regional Transit Authority (NORTA),New Orleans,LA,37047259.0,51424642.0,27479429.0,0.0,7057651.0,9700592.0,36929120.0,43131083.0,54873157.0,20627836.0,45574342.0,10643431.0,5354072.0,3426952.0,7998933.0,19167412.0,13417906.0,9873951.0,12718601.0,"New Orleans, LA",New Orleans,LA,30.0687,-89.9288
26,Northeast Illinois Regional Commuter Railroad Corporation,Chicago,IL,341726939.0,478163755.0,415461198.0,343240112.0,248159408.0,166976324.0,147144776.0,174803135.0,265054073.0,364856901.0,272168985.0,293289825.0,251661853.0,232619901.0,244076989.0,221467546.0,260503166.0,306118698.0,284913802.0,"Chicago, IL",Chicago,IL,41.8373,-87.6862
27,Northern Indiana Commuter Transportation District (NICTD),Chesterton,IN,32754363.0,33897471.0,36731896.0,29656648.0,28959567.0,49981941.0,34589328.0,29127885.0,31342137.0,24404112.0,10892173.0,12621904.0,13546359.0,13490127.0,49164055.0,53270181.0,51230694.0,51620397.0,104034851.0,"Chesterton, IN",Chesterton,IN,41.5997,-87.0548
28,Pace - Suburban Bus Division,Arlington Heights,IL,32336561.0,71996874.0,19420307.0,34690372.0,35771541.0,29037802.0,30535222.0,26109509.0,46016221.0,23334974.0,41935043.0,51787718.0,65892863.0,55566168.0,73927160.0,114487224.0,70759188.0,27969153.0,77115503.0,"Arlington Heights, IL",Arlington Heights,IL,42.0955,-87.9825
29,Peninsula Corridor Joint Powers Board (PCJPB),San Carlos,CA,87631041.0,107479420.0,118327611.0,65392988.0,99357766.0,92193386.0,96958972.0,76929717.0,72625765.0,91773899.0,81375158.0,87385024.0,111349291.0,122725976.0,134150721.0,224319129.0,322410639.0,416764342.0,358983820.0,"San Carlos, CA",San Carlos,CA,37.4982,-122.268
30,Port Authority of Allegheny County,Pittsburgh,PA,210238216.0,165159889.0,122131687.0,142756827.0,61231272.0,129334847.0,135219693.0,148489387.0,171653580.0,173827957.0,131908177.0,66698006.0,66727060.0,64409253.0,83960166.0,95480034.0,123458608.0,93991460.0,83799363.0,"Pittsburgh, PA",Pittsburgh,PA,40.4396,-79.9762
31,Rhode Island Public Transit Authority (RIPTA),Providence,RI,23942300.0,6678576.0,7789346.0,5115961.0,10212101.0,5169840.0,4104084.0,17156158.0,24140011.0,48037461.0,5259042.0,33009482.0,5199740.0,3846090.0,14156483.0,18413820.0,6092588.0,10600528.0,28612518.0,"Providence, RI",Providence,RI,41.823,-71.4187
32,San Diego Metropolitan Transit System (MTS),San Diego,CA,0.0,0.0,0.0,0.0,0.0,62123194.0,71100679.0,92131402.0,57373804.0,61121492.0,193813544.0,281483183.0,212541636.0,307180460.0,137824239.0,104011978.0,150794068.0,166500203.0,145862728.0,"San Diego, CA",San Diego,CA,32.8312,-117.1225
