,Agency Name,City_x,State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,place_id,City_y,state_id,lat,lon
18,Los Angeles County Metropolitan Transportation Authority (LACMTA),Los Angeles,CA,27220999.0,65227631.0,30280107.0,46852010.0,154888623.0,246128463.0,296685637.0,344331176.0,276020991.0,281182876.0,235797407.0,172210179.0,413761383.0,300464113.0,224499508.0,112068468.0,315473730.0,602321591.0,887556130.0,"Los Angeles, CA",Los Angeles,CA,34.1139,-118.4068
19,MTA New York City Transit (NYCT),Brooklyn,NY,1147900820.0,860258833.0,902506908.0,987556461.0,959649796.0,1922581123.0,2648503975.0,2999770294.0,2894969511.0,2952210602.0,3289124786.0,3190948748.0,3091835413.0,2143229575.0,2876205215.0,3317005501.0,2970160368.0,3745557400.0,3336422060.0,"Brooklyn, NY",Brooklyn,NY,40.6501,-73.9496
20,Maryland Transit Administration (MTA),Baltimore,MD,278161172.0,277876421.0,299213932.0,385618717.0,411715566.0,340732034.0,424369151.0,446809300.0,452832492.0,473885038.0,543953309.0,652393149.0,686997223.0,815472456.0,697918648.0,759198753.0,843130449.0,773714098.0,1157275690.0,"Baltimore, MD",Baltimore,MD,39.3051,-76.6144
21,Massachusetts Bay Transportation Authority (MBTA),Boston,MA,543031015.0,569639424.0,596285124.0,644706060.0,634680141.0,666218349.0,669189809.0,756525149.0,819473193.0,872874784.0,934053783.0,917093440.0,1076220951.0,1213787446.0,1279116638.0,1242685126.0,1135628504.0,1409262274.0,1052501113.0,"Boston, MA",Boston,MA,42.3188,-71.0846
22,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad (MTA-MNCR)",New York,NY,185421841.0,188124534.0,208500894.0,211026278.0,230179049.0,259710434.0,287716022.0,274039182.0,277923588.0,234120876.0,284576403.0,352457414.0,372038983.0,375683148.0,374217071.0,408183797.0,485208713.0,456772971.0,782161340.0,"New York, NY",New York,NY,40.6943,-73.9249
23,Metropolitan Atlanta Rapid Transit Authority (MARTA),Atlanta,GA,581601.0,2079450.0,838223.0,2244014.0,2081680.0,4691778.0,1643428.0,95372.0,2812540.0,3516736.0,2529530.0,1118820.0,2096000.0,0.0,12000.0,3000.0,2631719.0,7221053.0,3179531.0,"Atlanta, GA",Atlanta,GA,33.7627,-84.4224
24,New Jersey Transit Corporation,Newark,NJ,883636249.0,995195284.0,956046028.0,989074266.0,980054593.0,912899915.0,868617842.0,959766249.0,1157687475.0,773423628.0,918027433.0,1076490515.0,381686937.0,356421435.0,348142147.0,357711582.0,923365661.0,1352872358.0,1308498236.0,"Newark, NJ",Newark,NJ,40.7245,-74.1725
25,New Orleans Regional Transit Authority (NORTA),New Orleans,LA,1990789.0,2089822.0,2354387.0,0.0,3105703.0,2494289.0,1523582.0,1514332.0,1499016.0,1784745.0,1883342.0,2249782.0,4524423.0,6932682.0,7785501.0,8669927.0,8849080.0,9444034.0,12841407.0,"New Orleans, LA",New Orleans,LA,30.0687,-89.9288
26,Northeast Illinois Regional Commuter Railroad Corporation,Chicago,IL,34960734.0,39884490.0,36808007.0,15866314.0,13975703.0,16316435.0,2864894.0,3400000.0,19881813.0,20515364.0,129186942.0,171012049.0,50745735.0,15643574.0,6506869.0,3809584.0,0.0,0.0,8805039.0,"Chicago, IL",Chicago,IL,41.8373,-87.6862
27,Northern Indiana Commuter Transportation District (NICTD),Chesterton,IN,26341750.0,28258885.0,29045842.0,22846414.0,20969825.0,51701159.0,38270801.0,36329633.0,37022847.0,28698301.0,18363478.0,23932984.0,20467388.0,16683895.0,49075678.0,39173885.0,52134888.0,31661263.0,15759832.0,"Chesterton, IN",Chesterton,IN,41.5997,-87.0548
28,Pace - Suburban Bus Division,Arlington Heights,IL,84548151.0,87778518.0,83920520.0,87052528.0,103724547.0,92381612.0,118507755.0,129819313.0,131715659.0,139167354.0,144847924.0,150063035.0,157888851.0,172053.0,1345862.0,1346001.0,1278569.0,1345862.0,3723170.0,"Arlington Heights, IL",Arlington Heights,IL,42.0955,-87.9825
29,Peninsula Corridor Joint Powers Board (PCJPB),San Carlos,CA,50415441.0,42038405.0,52680170.0,7740353.0,2047005.0,4623330.0,3486248.0,4480124.0,4279289.0,23746322.0,37932513.0,29703414.0,35223337.0,50637540.0,47613355.0,146158239.0,33599014.0,190265058.0,160547026.0,"San Carlos, CA",San Carlos,CA,37.4982,-122.268
30,Port Authority of Allegheny County,Pittsburgh,PA,180660360.0,248410303.0,187463007.0,203857535.0,168698166.0,195977958.0,262592997.0,276451061.0,299881916.0,237307477.0,233180017.0,221533774.0,220396329.0,239573048.0,265571076.0,284110842.0,320798747.0,302567423.0,313718500.0,"Pittsburgh, PA",Pittsburgh,PA,40.4396,-79.9762
31,Rhode Island Public Transit Authority (RIPTA),Providence,RI,28134322.0,31573005.0,37428801.0,36475798.0,38646561.0,39927837.0,41162225.0,40416289.0,48952827.0,48707247.0,49695749.0,59596469.0,7629565.0,6930063.0,13014425.0,13685176.0,9508973.0,10978749.0,20012110.0,"Providence, RI",Providence,RI,41.823,-71.4187
32,San Diego Metropolitan Transit System (MTS),San Diego,CA,8192800.0,3847882.0,3864884.0,3963403.0,23414874.0,124908430.0,140162600.0,145602228.0,109580600.0,110028168.0,183944088.0,280385494.0,209690675.0,318347782.0,136253261.0,109925934.0,97745150.0,132663384.0,101333829.0,"San Diego, CA",San Diego,CA,32.8312,-117.1225
33,San Francisco Bay Area Rapid Transit District (BART),Oakland,CA,9788462.0,18927973.0,16254243.0,14590934.0,8542173.0,17069964.0,48537681.0,66082172.0,53760089.0,85840982.0,82050957.0,108775539.0,165902905.0,84061232.0,84653030.0,91840756.0,105807622.0,129338385.0,84736226.0,"Oakland, CA",Oakland,CA,37.7903,-122.2165
34,Santa Clara Valley Transportation Authority (VTA),San Jose,CA,114451008.0,98699051.0,97320572.0,92437473.0,84081534.0,144874206.0,226553869.0,126364340.0,134330874.0,184882252.0,189138403.0,217080579.0,162154323.0,209984012.0,196560886.0,136086269.0,140710723.0,197902076.0,152026224.0,"San Jose, CA",San Jose,CA,37.3019,-121.8486
35,Southeastern Pennsylvania Transportation Authority (SEPTA),Philadelphia,PA,498615461.0,515833685.0,499369800.0,544744997.0,466368160.0,541231231.0,641063987.0,731590593.0,700698995.0,649601741.0,667387860.0,656753048.0,682779819.0,769354850.0,929713450.0,1008446006.0,955746674.0,998975813.0,1026889552.0,"Philadelphia, PA",Philadelphia,PA,40.0077,-75.1339
36,Staten Island Rapid Transit Operating Authority (SIRTOA),Staten Island,NY,2783110.0,1982626.0,2091933.0,2752546.0,3221283.0,4033859.0,4034685.0,3345336.0,3386292.0,3398928.0,0.0,0.0,0.0,0.0,4618573.0,4618573.0,5038555.0,15083975.0,36365644.0,"Staten Island, NY",Staten Island,NY,40.5834,-74.1496
37,The Greater Cleveland Regional Transit Authority (GCRTA),Cleveland,OH,179653221.0,164933668.0,174437500.0,173017220.0,176710046.0,11944625.0,9336132.0,17089660.0,8015424.0,2360506.0,4137167.0,198337717.0,1151719.0,1185844.0,571455.0,2714409.0,945899.0,870394.0,9010385.0,"Cleveland, OH",Cleveland,OH,41.4767,-81.6804
38,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,1596329.0,1938061.0,2489742.0,5811843.0,1234985.0,1417631.0,1173906.0,1577868.0,25324140.0,87418379.0,23043861.0,87982168.0,7034154.0,117690993.0,22563820.0,1410142.0,1480825.0,4697678.0,18726078.0,"Portland, OR",Portland,OR,45.5372,-122.65
39,Utah Transit Authority (UTA),Salt Lake City,UT,98871211.0,104429826.0,110052408.0,103723418.0,91837396.0,146180387.0,204786896.0,188222329.0,171893732.0,183091524.0,196693543.0,203871168.0,255768168.0,240573501.0,262903408.0,346557767.0,7479676.0,7286829.0,2795918.0,"Salt Lake City, UT",Salt Lake City,UT,40.7777,-111.9306
40,VIA Metropolitan Transit (VIA),San Antonio,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13332294.0,19147463.0,17202784.0,2861765.0,"San Antonio, TX",San Antonio,TX,29.4658,-98.5253
41,"Valley Metro Rail, Inc. (VMR)",Phoenix,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Phoenix, AZ",Phoenix,AZ,33.5722,-112.0891
42,Washington Metropolitan Area Transit Authority (WMATA),Washington,DC,253006269.0,219938990.0,277258868.0,236952258.0,260911931.0,261799719.0,300282324.0,306688247.0,310781097.0,301820077.0,326527940.0,346827229.0,380566042.0,471094997.0,483212923.0,447701557.0,523835370.0,652628745.0,589682358.0,"Washington, DC",Washington,DC,38.9047,-77.0163
43,Washington State Ferries (WSF),Olympia,WA,120452164.0,104660103.0,80456360.0,100709425.0,119397883.0,115933080.0,129209851.0,143623761.0,172431405.0,205810124.0,145563343.0,192106191.0,174502923.0,154863987.0,167802529.0,170000563.0,159927142.0,160561170.0,181110437.0,"Olympia, WA",Olympia,WA,47.0417,-122.8959
