,Agency Name,City_x,State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,place_id,City_y,state_id,lat,lon
18,Los Angeles County Metropolitan Transportation Authority (LACMTA),Los Angeles,CA,510040863.0,633670256.0,683316284.0,924113248.0,722826170.0,742678873.0,837434683.0,800763700.0,895904284.0,1073614070.0,1091696718.0,1366179643.0,1746182240.0,1804247391.0,2125282080.0,2269173934.0,1964801864.0,2101558933.0,2218535712.0,"Los Angeles, CA",Los Angeles,CA,34.1139,-118.4068
19,MTA New York City Transit (NYCT),Brooklyn,NY,2550298662.0,2393996325.0,2395170939.0,2312128398.0,2117185888.0,2867135188.0,2931049505.0,3029771803.0,2975237879.0,1488425742.0,1810288762.0,1629876272.0,1780325689.0,3132529700.0,1752665457.0,1538693147.0,1515826270.0,1543071313.0,1404529551.0,"Brooklyn, NY",Brooklyn,NY,40.6501,-73.9496
20,Maryland Transit Administration (MTA),Baltimore,MD,0.0,697053.0,1501001.0,502354.0,472379.0,6675757.0,1617783.0,0.0,0.0,0.0,0.0,0.0,0.0,635000.0,0.0,0.0,0.0,0.0,0.0,"Baltimore, MD",Baltimore,MD,39.3051,-76.6144
21,Massachusetts Bay Transportation Authority (MBTA),Boston,MA,367993934.0,388316544.0,510446205.0,456144778.0,472029270.0,498707350.0,261355880.0,399103859.0,316516077.0,314713049.0,314713312.0,261314735.0,261206339.0,310286315.0,297112787.0,322062675.0,203511957.0,170145071.0,15982585.0,"Boston, MA",Boston,MA,42.3188,-71.0846
22,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad (MTA-MNCR)",New York,NY,274730100.0,229205873.0,392367624.0,440971401.0,389364002.0,285328031.0,351221275.0,320245237.0,240247115.0,232685958.0,248377955.0,320726543.0,314799637.0,265096855.0,375513356.0,461296421.0,392844823.0,525538279.0,302241497.0,"New York, NY",New York,NY,40.6943,-73.9249
23,Metropolitan Atlanta Rapid Transit Authority (MARTA),Atlanta,GA,364043433.0,369597852.0,338213547.0,339146940.0,389248248.0,429266207.0,447815294.0,399493711.0,388895961.0,359760019.0,356906230.0,394080055.0,445860949.0,450378178.0,414171795.0,420112041.0,534692370.0,574605981.0,525939268.0,"Atlanta, GA",Atlanta,GA,33.7627,-84.4224
24,New Jersey Transit Corporation,Newark,NJ,22604729.0,17124154.0,9515765.0,10512655.0,13492112.0,72169875.0,227514335.0,33348773.0,72413185.0,34013910.0,36500973.0,35908756.0,531622763.0,517237371.0,619530210.0,629559283.0,4667345.0,16183256.0,1795392.0,"Newark, NJ",Newark,NJ,40.7245,-74.1725
25,New Orleans Regional Transit Authority (NORTA),New Orleans,LA,52041547.0,55936004.0,54945127.0,0.0,24227722.0,54584576.0,40784006.0,51826933.0,58615372.0,68382541.0,64915650.0,51240915.0,67648513.0,61103257.0,80302815.0,80473805.0,70644573.0,85845433.0,28024016.0,"New Orleans, LA",New Orleans,LA,30.0687,-89.9288
26,Northeast Illinois Regional Commuter Railroad Corporation,Chicago,IL,354378669.0,421194275.0,418401764.0,388402374.0,315502800.0,284587193.0,306153066.0,333882487.0,354147868.0,503061406.0,343690096.0,342955529.0,439070245.0,460909414.0,482783381.0,431444782.0,507970127.0,497198993.0,458667067.0,"Chicago, IL",Chicago,IL,41.8373,-87.6862
27,Northern Indiana Commuter Transportation District (NICTD),Chesterton,IN,1878687.0,1121546.0,4406653.0,4172591.0,4065347.0,4276197.0,4101622.0,2838889.0,2989292.0,2983425.0,3702163.0,3700000.0,3700000.0,3700000.0,3700000.0,22894745.0,8933664.0,22879953.0,42693596.0,"Chesterton, IN",Chesterton,IN,41.5997,-87.0548
28,Pace - Suburban Bus Division,Arlington Heights,IL,11881107.0,31875513.0,7654258.0,10277557.0,9445926.0,24041814.0,25764914.0,15289265.0,12154554.0,13529684.0,21252743.0,23363999.0,28252748.0,184951180.0,176285541.0,212406917.0,193803607.0,186342466.0,157187632.0,"Arlington Heights, IL",Arlington Heights,IL,42.0955,-87.9825
29,Peninsula Corridor Joint Powers Board (PCJPB),San Carlos,CA,10713190.0,13658144.0,13884172.0,18277008.0,30664060.0,21919560.0,44872276.0,38600925.0,37685358.0,63851958.0,44970211.0,59287360.0,61642482.0,71146935.0,67526540.0,82655022.0,135796798.0,102463876.0,58131560.0,"San Carlos, CA",San Carlos,CA,37.4982,-122.268
30,Port Authority of Allegheny County,Pittsburgh,PA,113428509.0,30021049.0,55520532.0,34558050.0,29076221.0,25884260.0,42000022.0,44327025.0,36529077.0,33908461.0,35632261.0,34971742.0,38382045.0,36741631.0,40359767.0,42137778.0,45570491.0,50285768.0,21705948.0,"Pittsburgh, PA",Pittsburgh,PA,40.4396,-79.9762
31,Rhode Island Public Transit Authority (RIPTA),Providence,RI,3550393.0,3689300.0,8464127.0,8862706.0,9391025.0,9687549.0,9829271.0,9043999.0,9655603.0,10491512.0,10985414.0,11362785.0,58924139.0,60930907.0,55942955.0,56344107.0,62770640.0,59784836.0,49117629.0,"Providence, RI",Providence,RI,41.823,-71.4187
32,San Diego Metropolitan Transit System (MTS),San Diego,CA,26520482.0,33626927.0,29999402.0,35267580.0,13382890.0,18711239.0,17832915.0,23193780.0,28091360.0,22263077.0,24234918.0,26254171.0,28562213.0,36876104.0,61435370.0,51665606.0,94944916.0,125925120.0,57050504.0,"San Diego, CA",San Diego,CA,32.8312,-117.1225
33,San Francisco Bay Area Rapid Transit District (BART),Oakland,CA,469965729.0,343509072.0,272899021.0,299644383.0,256656309.0,277117118.0,378248632.0,450310034.0,356190189.0,403103502.0,440446997.0,412682412.0,313142520.0,356430578.0,335693977.0,495408999.0,508681554.0,654154919.0,1035117302.0,"Oakland, CA",Oakland,CA,37.7903,-122.2165
34,Santa Clara Valley Transportation Authority (VTA),San Jose,CA,283144269.0,502416372.0,331874338.0,355524917.0,285465953.0,219513500.0,189775346.0,299905013.0,210709359.0,153200361.0,264371851.0,169115592.0,332302639.0,374820777.0,421275992.0,446640711.0,390597830.0,397518158.0,426777964.0,"San Jose, CA",San Jose,CA,37.3019,-121.8486
35,Southeastern Pennsylvania Transportation Authority (SEPTA),Philadelphia,PA,103693097.0,75053640.0,91369512.0,80314708.0,78559362.0,92939630.0,90885031.0,113891813.0,80655197.0,109956567.0,156848194.0,172259766.0,122894254.0,137928197.0,136754242.0,199159251.0,241752500.0,244334687.0,123108316.0,"Philadelphia, PA",Philadelphia,PA,40.0077,-75.1339
36,Staten Island Rapid Transit Operating Authority (SIRTOA),Staten Island,NY,19296621.0,20186402.0,21215292.0,20784536.0,19463653.0,22281284.0,20161902.0,31490777.0,26199820.0,23419472.0,40879739.0,33004221.0,43739225.0,57403191.0,60112444.0,65448508.0,56526221.0,50047305.0,29883489.0,"Staten Island, NY",Staten Island,NY,40.5834,-74.1496
37,The Greater Cleveland Regional Transit Authority (GCRTA),Cleveland,OH,1000000.0,500000.0,2000000.0,3000000.0,21280345.0,190330231.0,203776446.0,162913953.0,169594754.0,136160824.0,173610460.0,0.0,202770079.0,207313349.0,223695046.0,217951149.0,231047488.0,260196592.0,213677734.0,"Cleveland, OH",Cleveland,OH,41.4767,-81.6804
38,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,201074929.0,202930448.0,197772760.0,189261896.0,240542234.0,245074717.0,393434830.0,297053068.0,248770278.0,245420528.0,293618743.0,373896926.0,483745717.0,246247726.0,247605437.0,294011332.0,383876381.0,496941907.0,438661590.0,"Portland, OR",Portland,OR,45.5372,-122.65
39,Utah Transit Authority (UTA),Salt Lake City,UT,203839486.0,1038283.0,970874.0,80301952.0,209048682.0,127597212.0,444666675.0,390962444.0,380327014.0,0.0,0.0,0.0,1269156.0,1043123.0,3110316.0,2850116.0,330172410.0,299204427.0,259032728.0,"Salt Lake City, UT",Salt Lake City,UT,40.7777,-111.9306
40,VIA Metropolitan Transit (VIA),San Antonio,TX,70274931.0,77268987.0,76099352.0,81575858.0,91398265.0,95914791.0,118317377.0,99855434.0,99601623.0,115317873.0,130988187.0,149433805.0,153513642.0,160501610.0,181848232.0,306332821.0,203562421.0,190716332.0,109183661.0,"San Antonio, TX",San Antonio,TX,29.4658,-98.5253
41,"Valley Metro Rail, Inc. (VMR)",Phoenix,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87471095.0,40826793.0,22004156.0,16049660.0,62480007.0,75608021.0,103541573.0,66463215.0,35076740.0,80314784.0,103934336.0,186901103.0,"Phoenix, AZ",Phoenix,AZ,33.5722,-112.0891
42,Washington Metropolitan Area Transit Authority (WMATA),Washington,DC,264282279.0,263515852.0,396121948.0,275602726.0,430054093.0,680006184.0,639951505.0,509570426.0,514487432.0,475332874.0,512253729.0,544186896.0,605253297.0,743748021.0,763369783.0,665365649.0,833714861.0,1059850639.0,922323688.0,"Washington, DC",Washington,DC,38.9047,-77.0163
43,Washington State Ferries (WSF),Olympia,WA,0.0,110055.0,58503.0,27846.0,158100.0,0.0,0.0,2359123.0,0.0,366646.0,582931.0,105116.0,9894.0,314968.0,688359.0,55083.0,0.0,0.0,0.0,"Olympia, WA",Olympia,WA,47.0417,-122.8959
