,Agency Name,City_x,State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,place_id,City_y,state_id,lat,lon
17,King County Department of Metro Transit (KCM),Seattle,WA,97465708.0,97592750.0,100346336.0,98877227.0,106519593.0,113814623.0,122437932.0,115947300.0,113637309.0,117087190.0,119952289.0,123192047.0,125340417.0,126268531.0,127384761.0,127954193.0,129054197.0,128666612.0,60165934.0,"Seattle, WA",Seattle,WA,47.6211,-122.3244
18,Los Angeles County Metropolitan Transportation Authority (LACMTA),Los Angeles,CA,436152237.0,389303120.0,436867661.0,462214009.0,490963342.0,482163018.0,487818141.0,466128474.0,456649218.0,460527664.0,472458381.0,481949713.0,468886475.0,445164921.0,419499246.0,401095618.0,387108244.0,373702216.0,215529565.0,"Los Angeles, CA",Los Angeles,CA,34.1139,-118.4068
19,MTA New York City Transit (NYCT),Brooklyn,NY,2717467331.0,2605828163.0,2682958508.0,3133872869.0,3192513535.0,3257000105.0,3319694296.0,3204628609.0,3285525453.0,3315145415.0,3379209075.0,3473264504.0,3563926346.0,3450049313.0,3472541947.0,3441693195.0,3369354401.0,3462578041.0,1538375731.0,"Brooklyn, NY",Brooklyn,NY,40.6501,-73.9496
20,Maryland Transit Administration (MTA),Baltimore,MD,110670817.0,116572889.0,112221302.0,112625319.0,102559280.0,110089188.0,115404791.0,119321705.0,120640880.0,117444808.0,107991025.0,111507545.0,116245702.0,112570243.0,107137398.0,99638595.0,94826928.0,94064450.0,52333335.0,"Baltimore, MD",Baltimore,MD,39.3051,-76.6144
21,Massachusetts Bay Transportation Authority (MBTA),Boston,MA,342880295.0,346999939.0,393529343.0,384353620.0,382445521.0,367862671.0,384747696.0,371260221.0,363506020.0,390163281.0,400901196.0,400210917.0,413980833.0,398593667.0,392882044.0,380108259.0,370307249.0,366337756.0,148952250.0,"Boston, MA",Boston,MA,42.3188,-71.0846
22,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad (MTA-MNCR)",New York,NY,71880666.0,71437794.0,71120717.0,73170791.0,75587091.0,78830142.0,82126358.0,78573828.0,79780935.0,80923290.0,83357303.0,83828218.0,84976450.0,86299452.0,86872761.0,86949250.0,92437511.0,92012752.0,29537783.0,"New York, NY",New York,NY,40.6943,-73.9249
23,Metropolitan Atlanta Rapid Transit Authority (MARTA),Atlanta,GA,150398196.0,137703806.0,137891337.0,140166110.0,143934416.0,146862826.0,158553710.0,150259022.0,143358605.0,136789779.0,131126031.0,130783062.0,134064006.0,134701361.0,127766817.0,124423141.0,117640177.0,114788595.0,57230206.0,"Atlanta, GA",Atlanta,GA,33.7627,-84.4224
24,New Jersey Transit Corporation,Newark,NJ,226105653.0,220810746.0,235216003.0,247724758.0,262569153.0,272792388.0,281604129.0,273316731.0,264527821.0,260766991.0,266053628.0,270218442.0,275086199.0,276701203.0,272634616.0,265866236.0,265939862.0,267515046.0,123310097.0,"Newark, NJ",Newark,NJ,40.7245,-74.1725
25,New Orleans Regional Transit Authority (NORTA),New Orleans,LA,46557922.0,42602554.0,41264251.0,24518402.0,0.0,8309769.0,11366812.0,11487093.0,13818194.0,15668314.0,22885163.0,21785238.0,19467590.0,19637287.0,19765652.0,19888262.0,18981661.0,16316609.0,7631384.0,"New Orleans, LA",New Orleans,LA,30.0687,-89.9288
26,Northeast Illinois Regional Commuter Railroad Corporation,Chicago,IL,69354239.0,69164745.0,67515557.0,69826451.0,72066626.0,75214313.0,77167066.0,71552171.0,70482178.0,72305980.0,74246585.0,73603167.0,74382144.0,72631171.0,72289606.0,70592215.0,68446239.0,61456663.0,16731031.0,"Chicago, IL",Chicago,IL,41.8373,-87.6862
27,Northern Indiana Commuter Transportation District (NICTD),Chesterton,IN,3589227.0,3568171.0,3544188.0,3803558.0,4208188.0,4245922.0,4180380.0,3885073.0,3714147.0,3706293.0,3668098.0,3606926.0,3613608.0,3617266.0,3504080.0,3455842.0,3400197.0,3283603.0,995049.0,"Chesterton, IN",Chesterton,IN,41.5997,-87.0548
28,Pace - Suburban Bus Division,Arlington Heights,IL,34879156.0,33454118.0,34356451.0,36846752.0,37842208.0,36534353.0,37720405.0,32221701.0,32283992.0,33715648.0,35399699.0,35925752.0,34790816.0,33116782.0,31169635.0,31370499.0,30207856.0,28520701.0,14565492.0,"Arlington Heights, IL",Arlington Heights,IL,42.0955,-87.9825
